subject,question,option 1,option 2,option 3,option 4,answer
과학,폐에서 공기 속의 ( )는 혈액으로 들어간다. 36,질소,수소,이산화 탄소,산소,4
과학,심장에서 나온 혈액이 온몸을 도는 과정을 혈액 ( )이라고 한다. 37,순환,배설,소화,호흡,1
과학,혈액 속의 노폐물을 걸러 내어 오줌을 만드는 기관은 ( )이다. 38,방광,요도,콩팥,심장,3
과학,감각 기관이 받아들인 자극은 ( )계를 통해 전달된다. 39,소화,신경,순환,배설,2
과학,전달받은 자극을 해석하고 행동을 결정하는 곳은 ( )신경이다. 40,감각,운동,말초,중추,4
국어,( )을 치다 : 매우 급하게 도망을 치다,줄행랑,뜀박질,곤장,북,줄행랑
국어,( )을 잡다 : 어떤 문제를 풀어나갈 방법을 생각해내다,중심,가닥,기틀,꼬리,가닥
국어,( ) 끈이 길다 : 학벌이 높다,구두,허리,가방,머리,가방
국어,( )가 돋다 : 공격의 의도나 불평불만이 있다,가시,뿔,독,날,가시
국어,( )을 받다 : 많은 사람들에게 관심이나 주목을 받다,조명,사랑,각광,시선,각광
국어,( ) 떨어지다 : 순간적으로 몹시 놀라다,위,허파,간,콩팥,간
국어,( )의 차 : 아주 근소한 차이,종이,간발,머리카락,손톱,간발
국어,( )이 서늘하다 : 몹시 놀라서 섬뜩하다,배,가슴,머리,간,간담
국어,( ) 눈에는 똥만 보인다 : 평소에 좋아하던 것이 먼저 눈에 띈다,소,닭,돼지,개,개
국어,( )을 물다 : 화를 내며 거칠게 말하다,게거품,비눗물,헛물,침,게거품
국어,( )를 들다 : 실패를 맛보다,건배,고배,쓴잔,독배,고배
국어,( ) 같은 손 : 아이처럼 작은 손,도라지,강아지,송이,고사리,고사리
국어,( ) 뿌리다 : 다른 사람의 일을 방해하는 일을 하다,소금,재,찬물,고춧가루,고춧가루
국어,( ) 빠진 날 : 생일,이,코,귀,머리,귀
국어,귀가 ( ) : 줏대가 없이 다른 사람의 말을 잘 듣는다,얇다,두껍다,넓다,좁다,얇다
국어,( )이 곡할 노릇 : 도저히 이해되지 않는 일,귀신,도깨비,사람,조상,귀신
국어,( )이 가다 : 서로의 사이가 벌어지거나 틀어지다,선,벽,줄,금,금
국어,( )가 막히다 : 어떠한 일이 놀랍거나 어이없다,코,기,숨,말,기
국어,( )이 식다 : 재미나 의욕이 없어진다,밥,국,김,땀,김
국어,( )가 쏟아지다 : 신혼부부가 행복하게 사는 모습,꿀,콩,쌀,깨,깨
국어,( )가 길다 : 못된 짓을 오래 두고 계속하다,다리,꼬리,머리,허리,꼬리
국어,( )이 두껍다 : 뻔뻔스럽고 창피를 모르는 철면피,낯가죽,뱃가죽,손바닥,발바닥,낯가죽
국어,( )가 되다 : 매우 지쳐 기운이 없다,양초,파,묵사발,녹초,녹초
국어,눈 ( )할 사이 : 매우 짧은 순간,깜짝,끔뻑,번쩍,찡긋,깜짝
국어,( ) 뜰 새 없다 : 정신없이 바쁘다,손발,눈코,앞뒤,정신,눈코
국어,( )을 들이다 : 욕심을 내어 눈여겨보다,눈길,콧김,입맛,눈독,눈독
국어,눈앞이 ( )하다 : 충격적인 일에 대한 해결책이 없다,깜깜,캄캄,답답,먹먹,캄캄
국어,눈에 ( )도 아프지 않다 : 몹시 귀엽다,넣어,찔려,밟혀,띄어,넣어
국어,눈에 ( )다 : 어떤 것이 자꾸 떠오르거나 생각이 나다,보이,밟히,걸리,스치,밟히
국어,눈에 ( )을 켜다 : 무엇을 찾으려고 온 정신을 집중시키다,불,등,초,빛,불
국어,눈에 ( )이 들어가다 : 죽어서 땅에 묻히다,모래,먼지,흙,티,흙
국어,눈이 ( ) : 정도 이상의 좋은 것만 찾는 버릇이 있다,높다,낮다,깊다,넓다,높다
국어,( )을 떨다 : 속마음을 숨기고 겉으로는 아무렇지 않은 척하다,엄살,수다,내숭,능청,능청
국어,( )를 뻗고 자다 : 마음이 편한 상태,팔,허리,목,다리,다리
국어,( ) 쓴맛 다 보았다 : 세상의 온갖 즐거움과 괴로움을 다 겪었다,매운맛,짠맛,단맛,신맛,단맛
국어,( )를 잡히다 : 약점을 잡히다,꼬리,발목,뒷목,덜미,덜미
국어,( ) 위에 오르다 : 사람들의 비판의 대상이 되다,식탁,도마,쟁반,접시,도마
국어,( )에 번쩍 서에 번쩍 : 종적을 알 수 없이 왔다 갔다 한다,남,북,동,앞,동
국어,( )를 걸다 : 일의 진행을 방해하다,시비,태클,으름장,딴지,딴지
국어,( ) 하늘에 날벼락 : 뜻하지 않은 큰 재앙을 당했다,맑은,마른,높은,푸른,마른
수학,3/5 ÷ 1/5 는?,1,2,3,4,3
수학,6/7 ÷ 2/7,2,3,4,5,3
수학,8/9 ÷ 2/9,2,3,4,5,4
수학,10/11 ÷ 5/11,1,2,3,4,2
수학,9/13 ÷ 3/13,1,2,3,4,3
수학,1 ÷ 1/3,1,2,3,4,3
수학,2 ÷ 2/5,3,4,5,6,5
수학,6 ÷ 3/4,4,6,8,10,8
수학,10 ÷ 5/7,12,14,16,18,14
수학,2/3 ÷ 2/9,1,2,3,4,3
수학,3/5 ÷ 3/10,1,2,3,4,2
수학,1/2 ÷ 1/4,1,2,3,4,2
수학,1/3 ÷ 2/3,1,2,3,4,2
수학,7/5 ÷ 3/5,7/3,3/7,7/5,3/5,1
수학,6/7 ÷ 2/7 은?,2,3,4,5,3
수학,9/11 ÷ 3/11 은?,2,3,4,5,3
수학,12/13 ÷ 4/13 는?,3,4,5,6,3
수학,8/15 ÷ 2/15 는?,2,4,6,8,4
수학,14/17 ÷ 7/17 은?,1,2,3,4,2
수학,3/7 ÷ 4/7 은?,1/2,2/3,3/4,4/3,3/4
수학,5/9 ÷ 7/9 은?,5/7,7/5,5/9,7/9,5/7
수학,2/5 ÷ 3/5 는?,1/2,2/3,3/2,2/5,2/3
수학,3 ÷ 1/4 은?,7,10,12,15,12
수학,5 ÷ 1/3 은?,10,12,15,20,15
수학,4 ÷ 2/5 는?,8,10,12,14,10
수학,6 ÷ 3/7 은?,12,14,16,18,14
수학,8 ÷ 4/9 는?,16,18,20,24,18
수학,10 ÷ 2/5 는?,20,22,25,30,25
수학,12 ÷ 3/4 은?,12,15,16,18,16
수학,15 ÷ 5/6 는?,15,18,20,25,18
수학,9 ÷ 3/5 은?,12,15,18,21,15
수학,14 ÷ 7/8 은?,14,15,16,17,16
수학,3/4 ÷ 1/2 은?,1과 1/4,1과 1/2,2,2과 1/2,1과 1/2
수학,5/6 ÷ 1/3 은?,1과 1/2,2,2과 1/2,3,2과 1/2
수학,7/8 ÷ 1/4 은?,2과 1/2,3,3과 1/2,4,3과 1/2
수학,8/9 ÷ 2/3 는?,1,1과 1/3,1과 1/2,1과 2/3,1과 1/3
수학,3/5 ÷ 1/2 은?,1,1과 1/5,1과 2/5,1과 1/2,1과 1/5
수학,5/8 ÷ 3/4 은?,1/2,2/3,5/6,6/5,5/6
수학,4/5 ÷ 8/15 는?,1,1과 1/4,1과 1/2,2,1과 1/2
수학,7/10 ÷ 1/5 은?,2과 1/2,3,3과 1/2,4,3과 1/2
수학,1과 1/3 ÷ 2/3 는?,1,2,3,4,2
수학,2과 1/2 ÷ 5/4 는?,1,2,3,4,2
수학,1과 2/5 ÷ 1/5 은?,5,6,7,8,7
수학,3과 1/2 ÷ 7/2 는?,1,2,3,4,1
수학,1과 1/5 ÷ 3/5 는?,1,2,3,4,2
수학,2과 2/3 ÷ 4/3 는?,1,2,3,4,2
수학,1과 3/4 ÷ 7/8 은?,1,2,3,4,2
수학,2과 1/5 ÷ 11/10 은?,1,2,3,4,2
수학,1/3 ÷ 1/4 은?,1,1과 1/4,1과 1/3,1과 1/2,1과 1/3
수학,1/5 ÷ 1/6 은?,1,1과 1/6,1과 1/5,1과 1/4,1과 1/5
수학,2/5 ÷ 3/10 은?,1,1과 1/5,1과 1/3,1과 1/2,1과 1/3
수학,1과 1/6 ÷ 1/3 은?,2과 1/2,3,3과 1/2,4,3과 1/2
수학,2과 1/4 ÷ 3/8 은?,4,5,6,7,6
수학,4과 1/2 ÷ 3/4 은?,4,5,6,8,6
사회,둥근 지구를 평면으로 나타내어 세계를 한눈에 볼 수 있는 것은?,지구본,세계지도,디지털영상지도,항공사진,세계지도
사회,둥근 지구를 작게 줄여 실제 모습과 비슷하게 만든 모형은?,지구본,세계지도,지형도,안내도,지구본
사회,위성 사진이나 항공 사진에 디지털 정보를 결합하여 확대로 축소가 자유로운 지도는?,백지도,지구본,세계지도,디지털영상지도,디지털영상지도
사회,바다로 둘러싸인 커다란 땅덩어리를 무엇이라고 하는가?,대양,대륙,반도,섬,대륙
사회,세계에서 가장 큰 대륙으로 세계 인구의 절반 이상이 사는 곳은?,아프리카,유럽,아시아,북아메리카,아시아
사회,아시아와 유럽을 나누는 경계가 되는 산맥은?,히말라야산맥,우랄산맥,로키산맥,안데스산맥,우랄산맥
사회,대륙 중 가장 작으며 오스트레일리아와 여러 섬으로 이루어진 곳은?,오세아니아,유럽,남아메리카,아프리카,오세아니아
사회,북반구에 위치하며 대부분 미국과 캐나다가 차지하고 있는 대륙은?,남아메리카,아프리카,북아메리카,유럽,북아메리카
사회,세계에서 가장 넓은 바다(대양)는 어디인가?,대서양,인도양,태평양,북극해,태평양
사회,북극을 중심으로 분포하며 대양 중 가장 좁은 바다는?,남극해,북극해,인도양,대서양,북극해
사회,아시아와 유럽 두 대륙에 걸쳐 있는 나라는?,튀르키예,네팔,싱가포르,이집트,튀르키예
사회,바다와 접하지 않으며 에베레스트산 등 높은 산이 많은 나라는?,일본,필리핀,네팔,영국,네팔
사회,아프리카 대륙의 북동쪽 끝에 있으며 아시아와 육지로 이어진 나라는?,레소토,이집트,가나,케냐,이집트
사회,국경선이 대부분 직선으로 반듯하게 그려져 있는 나라의 대륙은?,아시아,유럽,아프리카,오세아니아,아프리카
사회,남아메리카 서쪽에 있는 세계에서 가장 긴 산맥은?,알프스산맥,로키산맥,안데스산맥,우랄산맥,안데스산맥
사회,영토가 남북으로 매우 길어 다양한 기후가 나타나는 남아메리카의 나라는?,칠레,브라질,아르헨티나,페루,칠레
사회,한 지역에서 여러 해에 걸쳐 나타나는 평균적인 날씨를 무엇이라 하는가?,기온,계절,기후,일기,기후
사회,세계의 기후를 구분하는 주된 기준 두 가지는 기온과 ( )이다.,바람,습도,강수량,구름,강수량
사회,일 년 내내 춥고 얼음과 눈으로 덮여 있는 기후는?,열대기후,건조기후,온대기후,한대기후,한대기후
사회,겨울이 춥고 길며 침엽수림이 널리 발달한 기후는?,냉대기후,온대기후,열대기후,건조기후,냉대기후
사회,사계절이 뚜렷하고 사람이 살기에 가장 적당한 기후는?,한대기후,냉대기후,온대기후,열대기후,온대기후
사회,일 년 내내 기온이 높고 비가 많이 내려 밀림이 형성되는 기후는?,건조기후,열대기후,온대기후,고산기후,열대기후
사회,연평균 강수량이 500mm 미만으로 매우 건조한 기후는?,열대기후,건조기후,냉대기후,온대기후,건조기후
사회,해발 고도가 높은 곳에서 나타나며 일 년 내내 봄처럼 선선한 기후는?,고산기후,한대기후,열대기후,냉대기후,고산기후
사회,열대 기후 지역에서 땅의 습기와 열기를 피하기 위해 지은 집은?,통나무집,흙집,고상가옥,게르,고상가옥
사회,건조 기후(사막) 지역에서 주로 사용하는 집 짓기 재료는?,얼음,나무,흙(벽돌),철근,흙(벽돌)
사회,몽골의 유목민들이 사용하는 이동식 천막 집의 이름은?,이글루,게르,천막,움막,게르
사회,캐나다와 같은 냉대 기후 지역에서 주로 볼 수 있는 집 형태는?,흙집,수상가옥,통나무집,얼음집,통나무집
사회,이슬람교 여성들이 머리카락과 얼굴 일부를 가리기 위해 쓰는 것은?,히잡,갓,터번,모자,히잡
사회,몽골에서 즐겨 입으며 말을 탈 때 편하고 따뜻한 겉옷은?,기모노,델,한복,판초,델
사회,페루 등 안데스 산지 사람들이 추위를 막기 위해 입는 겉옷은?,망토(판초),패딩,코트,조끼,망토(판초)
사회,인도 사람들이 종교적인 이유(힌두교)로 먹지 않는 고기는?,돼지고기,닭고기,양고기,소고기,소고기
사회,이슬람교도들이 종교적인 이유로 먹지 않는 고기는?,소고기,돼지고기,닭고기,양고기,돼지고기
사회,멕시코에서 새해를 맞이하며 소원을 빌 때 먹는 과일은?,사과,포도,바나나,수박,포도
사회,미국에서 추수 감사절에 수확을 감사하며 먹는 음식은?,칠면조구이,케밥,피자,햄버거,칠면조구이
사회,튀르키예의 유목민들이 고기를 꼬챙이에 끼워 구워 먹던 음식은?,타코,스시,케밥,딤섬,케밥
사회,한대 기후 지역에서 주로 기르는 가축으로 썰매를 끌기도 하는 동물은?,낙타,말,순록,양,순록
사회,건조 기후 지역(사막)에서 볼 수 있는 물이 솟아나는 장소는?,오아시스,저수지,댐,호수,오아시스
사회,세계에서 해가 가장 먼저 뜨는 나라로 알려진 오세아니아의 섬나라는?,호주,뉴질랜드,피지,키리바시,키리바시
사회,싱가포르는 지리적 이점을 이용하여 무엇이 발달했는가?,농업,목축업,무역(항구),광업,무역(항구)
